startDateTime,endDateTime,tempSingleMean,tempSingleMinimum,tempSingleMaximum,tempSingleVariance,tempSingleNumPts,tempSingleExpUncert,tempSingleStdErMean,finalQF
"2020-03-04T17:36:00Z","2020-03-04T17:37:00Z",,,,,,,,1
"2020-03-04T17:37:00Z","2020-03-04T17:38:00Z",,,,,,,,1
"2020-03-04T17:38:00Z","2020-03-04T17:39:00Z",,,,,,,,1
"2020-03-04T17:39:00Z","2020-03-04T17:40:00Z",,,,,,,,1
"2020-03-04T17:40:00Z","2020-03-04T17:41:00Z",,,,,,,,1
"2020-03-04T17:41:00Z","2020-03-04T17:42:00Z",,,,,,,,1
"2020-03-04T17:42:00Z","2020-03-04T17:43:00Z",,,,,,,,1
"2020-03-04T17:43:00Z","2020-03-04T17:44:00Z",,,,,,,,1
"2020-03-04T17:44:00Z","2020-03-04T17:45:00Z",,,,,,,,1
"2020-03-04T17:45:00Z","2020-03-04T17:46:00Z",,,,,,,,1
"2020-03-04T17:46:00Z","2020-03-04T17:47:00Z",,,,,,,,1
"2020-03-04T17:47:00Z","2020-03-04T17:48:00Z",,,,,,,,1
"2020-03-04T17:48:00Z","2020-03-04T17:49:00Z",,,,,,,,1
"2020-03-04T17:49:00Z","2020-03-04T17:50:00Z",,,,,,,,1
"2020-03-04T17:50:00Z","2020-03-04T17:51:00Z",,,,,,,,1
"2020-03-04T17:51:00Z","2020-03-04T17:52:00Z",,,,,,,,1
"2020-03-04T17:52:00Z","2020-03-04T17:53:00Z",,,,,,,,1
"2020-03-04T17:53:00Z","2020-03-04T17:54:00Z",,,,,,,,1
"2020-03-04T17:54:00Z","2020-03-04T17:55:00Z",,,,,,,,1
"2020-03-04T17:55:00Z","2020-03-04T17:56:00Z",,,,,,,,1
"2020-03-04T17:56:00Z","2020-03-04T17:57:00Z",,,,,,,,1
"2020-03-04T17:57:00Z","2020-03-04T17:58:00Z",,,,,,,,1
"2020-03-04T17:58:00Z","2020-03-04T17:59:00Z",,,,,,,,1
"2020-03-04T17:59:00Z","2020-03-04T18:00:00Z",,,,,,,,1
"2020-03-04T18:00:00Z","2020-03-04T18:01:00Z",,,,,,,,1
"2020-03-04T18:01:00Z","2020-03-04T18:02:00Z",,,,,,,,1
"2020-03-04T18:02:00Z","2020-03-04T18:03:00Z",,,,,,,,1
"2020-03-04T18:03:00Z","2020-03-04T18:04:00Z",,,,,,,,1
"2020-03-04T18:04:00Z","2020-03-04T18:05:00Z",,,,,,,,1
"2020-03-04T18:05:00Z","2020-03-04T18:06:00Z",,,,,,,,1
"2020-03-04T18:06:00Z","2020-03-04T18:07:00Z",,,,,,,,1
"2020-03-04T18:07:00Z","2020-03-04T18:08:00Z",,,,,,,,1
"2020-03-04T18:08:00Z","2020-03-04T18:09:00Z",,,,,,,,1
"2020-03-04T18:09:00Z","2020-03-04T18:10:00Z",,,,,,,,1
"2020-03-04T18:10:00Z","2020-03-04T18:11:00Z",,,,,,,,1
"2020-03-04T18:11:00Z","2020-03-04T18:12:00Z",,,,,,,,1
"2020-03-04T18:12:00Z","2020-03-04T18:13:00Z",,,,,,,,1
"2020-03-04T18:13:00Z","2020-03-04T18:14:00Z",,,,,,,,1
"2020-03-04T18:14:00Z","2020-03-04T18:15:00Z",,,,,,,,1
"2020-03-04T18:15:00Z","2020-03-04T18:16:00Z",,,,,,,,1
"2020-03-04T18:16:00Z","2020-03-04T18:17:00Z",,,,,,,,1
"2020-03-04T18:17:00Z","2020-03-04T18:18:00Z",,,,,,,,1
"2020-03-04T18:18:00Z","2020-03-04T18:19:00Z",,,,,,,,1
"2020-03-04T18:19:00Z","2020-03-04T18:20:00Z",,,,,,,,1
"2020-03-04T18:20:00Z","2020-03-04T18:21:00Z",,,,,,,,1
"2020-03-04T18:21:00Z","2020-03-04T18:22:00Z",,,,,,,,1
"2020-03-04T18:22:00Z","2020-03-04T18:23:00Z",,,,,,,,1
"2020-03-04T18:23:00Z","2020-03-04T18:24:00Z",,,,,,,,1
"2020-03-04T18:24:00Z","2020-03-04T18:25:00Z",,,,,,,,1
"2020-03-04T18:25:00Z","2020-03-04T18:26:00Z",,,,,,,,1
"2020-03-04T18:26:00Z","2020-03-04T18:27:00Z",,,,,,,,1
"2020-03-04T18:27:00Z","2020-03-04T18:28:00Z",,,,,,,,1
"2020-03-04T18:28:00Z","2020-03-04T18:29:00Z",,,,,,,,1
"2020-03-04T18:29:00Z","2020-03-04T18:30:00Z",,,,,,,,1
"2020-03-04T18:30:00Z","2020-03-04T18:31:00Z",,,,,,,,1
"2020-03-04T18:31:00Z","2020-03-04T18:32:00Z",,,,,,,,1
"2020-03-04T18:32:00Z","2020-03-04T18:33:00Z",,,,,,,,1
"2020-03-04T18:33:00Z","2020-03-04T18:34:00Z",,,,,,,,1
"2020-03-04T18:34:00Z","2020-03-04T18:35:00Z",,,,,,,,1
"2020-03-04T18:35:00Z","2020-03-04T18:36:00Z",,,,,,,,1
"2020-03-04T18:36:00Z","2020-03-04T18:37:00Z",,,,,,,,1
"2020-03-04T18:37:00Z","2020-03-04T18:38:00Z",,,,,,,,1
"2020-03-04T18:38:00Z","2020-03-04T18:39:00Z",,,,,,,,1
"2020-03-04T18:39:00Z","2020-03-04T18:40:00Z",,,,,,,,1
"2020-03-04T18:40:00Z","2020-03-04T18:41:00Z",,,,,,,,1
"2020-03-04T18:41:00Z","2020-03-04T18:42:00Z",,,,,,,,1
"2020-03-04T18:42:00Z","2020-03-04T18:43:00Z",,,,,,,,1
"2020-03-04T18:43:00Z","2020-03-04T18:44:00Z",,,,,,,,1
"2020-03-04T18:44:00Z","2020-03-04T18:45:00Z",,,,,,,,1
"2020-03-04T18:45:00Z","2020-03-04T18:46:00Z",,,,,,,,1
"2020-03-04T18:46:00Z","2020-03-04T18:47:00Z",,,,,,,,1
"2020-03-04T18:47:00Z","2020-03-04T18:48:00Z",,,,,,,,1
"2020-03-04T18:48:00Z","2020-03-04T18:49:00Z",,,,,,,,1
"2020-03-04T18:49:00Z","2020-03-04T18:50:00Z",,,,,,,,1
"2020-03-04T18:50:00Z","2020-03-04T18:51:00Z",,,,,,,,1
"2020-03-04T18:51:00Z","2020-03-04T18:52:00Z",,,,,,,,1
"2020-03-04T18:52:00Z","2020-03-04T18:53:00Z",,,,,,,,1
"2020-03-04T18:53:00Z","2020-03-04T18:54:00Z",,,,,,,,1
"2020-03-04T18:54:00Z","2020-03-04T18:55:00Z",,,,,,,,1
"2020-03-04T18:55:00Z","2020-03-04T18:56:00Z",,,,,,,,1
"2020-03-04T18:56:00Z","2020-03-04T18:57:00Z",,,,,,,,1
"2020-03-04T18:57:00Z","2020-03-04T18:58:00Z",,,,,,,,1
"2020-03-04T18:58:00Z","2020-03-04T18:59:00Z",,,,,,,,1
"2020-03-04T18:59:00Z","2020-03-04T19:00:00Z",,,,,,,,1
"2020-03-04T19:00:00Z","2020-03-04T19:01:00Z",,,,,,,,1
"2020-03-04T19:01:00Z","2020-03-04T19:02:00Z",,,,,,,,1
"2020-03-04T19:02:00Z","2020-03-04T19:03:00Z",,,,,,,,1
"2020-03-04T19:03:00Z","2020-03-04T19:04:00Z",,,,,,,,1
"2020-03-04T19:04:00Z","2020-03-04T19:05:00Z",,,,,,,,1
"2020-03-04T19:05:00Z","2020-03-04T19:06:00Z",,,,,,,,1
"2020-03-04T19:06:00Z","2020-03-04T19:07:00Z",,,,,,,,1
"2020-03-04T19:07:00Z","2020-03-04T19:08:00Z",,,,,,,,1
"2020-03-04T19:08:00Z","2020-03-04T19:09:00Z",,,,,,,,1
"2020-03-04T19:09:00Z","2020-03-04T19:10:00Z",,,,,,,,1
"2020-03-04T19:10:00Z","2020-03-04T19:11:00Z",,,,,,,,1
"2020-03-04T19:11:00Z","2020-03-04T19:12:00Z",,,,,,,,1
"2020-03-04T19:12:00Z","2020-03-04T19:13:00Z",,,,,,,,1
"2020-03-04T19:13:00Z","2020-03-04T19:14:00Z",,,,,,,,1
"2020-03-04T19:14:00Z","2020-03-04T19:15:00Z",,,,,,,,1
"2020-03-04T19:15:00Z","2020-03-04T19:16:00Z",,,,,,,,1
"2020-03-04T19:16:00Z","2020-03-04T19:17:00Z",,,,,,,,1
"2020-03-04T19:17:00Z","2020-03-04T19:18:00Z",,,,,,,,1
"2020-03-04T19:18:00Z","2020-03-04T19:19:00Z",,,,,,,,1
"2020-03-04T19:19:00Z","2020-03-04T19:20:00Z",,,,,,,,1
"2020-03-04T19:20:00Z","2020-03-04T19:21:00Z",,,,,,,,1
"2020-03-04T19:21:00Z","2020-03-04T19:22:00Z",,,,,,,,1
"2020-03-04T19:22:00Z","2020-03-04T19:23:00Z",,,,,,,,1
"2020-03-04T19:23:00Z","2020-03-04T19:24:00Z",,,,,,,,1
"2020-03-04T19:24:00Z","2020-03-04T19:25:00Z",,,,,,,,1
"2020-03-04T19:25:00Z","2020-03-04T19:26:00Z",,,,,,,,1
"2020-03-04T19:26:00Z","2020-03-04T19:27:00Z",,,,,,,,1
"2020-03-04T19:27:00Z","2020-03-04T19:28:00Z",,,,,,,,1
"2020-03-04T19:28:00Z","2020-03-04T19:29:00Z",,,,,,,,1
"2020-03-04T19:29:00Z","2020-03-04T19:30:00Z",,,,,,,,1
"2020-03-04T19:30:00Z","2020-03-04T19:31:00Z",,,,,,,,1
"2020-03-04T19:31:00Z","2020-03-04T19:32:00Z",,,,,,,,1
"2020-03-04T19:32:00Z","2020-03-04T19:33:00Z",,,,,,,,1
"2020-03-04T19:33:00Z","2020-03-04T19:34:00Z",,,,,,,,1
"2020-03-04T19:34:00Z","2020-03-04T19:35:00Z",,,,,,,,1
"2020-03-04T19:35:00Z","2020-03-04T19:36:00Z",,,,,,,,1
"2020-03-04T19:36:00Z","2020-03-04T19:37:00Z",,,,,,,,1
"2020-03-04T19:37:00Z","2020-03-04T19:38:00Z",,,,,,,,1
"2020-03-04T19:38:00Z","2020-03-04T19:39:00Z",,,,,,,,1
"2020-03-04T19:39:00Z","2020-03-04T19:40:00Z",,,,,,,,1
"2020-03-04T19:40:00Z","2020-03-04T19:41:00Z",,,,,,,,1
"2020-03-04T19:41:00Z","2020-03-04T19:42:00Z",,,,,,,,1
"2020-03-04T19:42:00Z","2020-03-04T19:43:00Z",,,,,,,,1
"2020-03-04T19:43:00Z","2020-03-04T19:44:00Z",,,,,,,,1
"2020-03-04T19:44:00Z","2020-03-04T19:45:00Z",,,,,,,,1
"2020-03-04T19:45:00Z","2020-03-04T19:46:00Z",,,,,,,,1
"2020-03-04T19:46:00Z","2020-03-04T19:47:00Z",,,,,,,,1
"2020-03-04T19:47:00Z","2020-03-04T19:48:00Z",,,,,,,,1
"2020-03-04T19:48:00Z","2020-03-04T19:49:00Z",,,,,,,,1
"2020-03-04T19:49:00Z","2020-03-04T19:50:00Z",,,,,,,,1
"2020-03-04T19:50:00Z","2020-03-04T19:51:00Z",,,,,,,,1
"2020-03-04T19:51:00Z","2020-03-04T19:52:00Z",,,,,,,,1
"2020-03-04T19:52:00Z","2020-03-04T19:53:00Z",,,,,,,,1
"2020-03-04T19:53:00Z","2020-03-04T19:54:00Z",,,,,,,,1
"2020-03-04T19:54:00Z","2020-03-04T19:55:00Z",,,,,,,,1
"2020-03-04T19:55:00Z","2020-03-04T19:56:00Z",,,,,,,,1
"2020-03-04T19:56:00Z","2020-03-04T19:57:00Z",,,,,,,,1
"2020-03-04T19:57:00Z","2020-03-04T19:58:00Z",,,,,,,,1
"2020-03-04T19:58:00Z","2020-03-04T19:59:00Z",,,,,,,,1
"2020-03-04T19:59:00Z","2020-03-04T20:00:00Z",,,,,,,,1
"2020-03-04T20:00:00Z","2020-03-04T20:01:00Z",,,,,,,,1
"2020-03-04T20:01:00Z","2020-03-04T20:02:00Z",,,,,,,,1
"2020-03-04T20:02:00Z","2020-03-04T20:03:00Z",,,,,,,,1
"2020-03-04T20:03:00Z","2020-03-04T20:04:00Z",,,,,,,,1
"2020-03-04T20:04:00Z","2020-03-04T20:05:00Z",,,,,,,,1
"2020-03-04T20:05:00Z","2020-03-04T20:06:00Z",,,,,,,,1
"2020-03-04T20:06:00Z","2020-03-04T20:07:00Z",,,,,,,,1
"2020-03-04T20:07:00Z","2020-03-04T20:08:00Z",,,,,,,,1
"2020-03-04T20:08:00Z","2020-03-04T20:09:00Z",,,,,,,,1
"2020-03-04T20:09:00Z","2020-03-04T20:10:00Z",,,,,,,,1
"2020-03-04T20:10:00Z","2020-03-04T20:11:00Z",,,,,,,,1
"2020-03-04T20:11:00Z","2020-03-04T20:12:00Z",,,,,,,,1
"2020-03-04T20:12:00Z","2020-03-04T20:13:00Z",,,,,,,,1
"2020-03-04T20:13:00Z","2020-03-04T20:14:00Z",,,,,,,,1
"2020-03-04T20:14:00Z","2020-03-04T20:15:00Z",,,,,,,,1
"2020-03-04T20:15:00Z","2020-03-04T20:16:00Z",,,,,,,,1
"2020-03-04T20:16:00Z","2020-03-04T20:17:00Z",,,,,,,,1
"2020-03-04T20:17:00Z","2020-03-04T20:18:00Z",,,,,,,,1
"2020-03-04T20:18:00Z","2020-03-04T20:19:00Z",,,,,,,,1
"2020-03-04T20:19:00Z","2020-03-04T20:20:00Z",,,,,,,,1
"2020-03-04T20:20:00Z","2020-03-04T20:21:00Z",,,,,,,,1
"2020-03-04T20:21:00Z","2020-03-04T20:22:00Z",,,,,,,,1
"2020-03-04T20:22:00Z","2020-03-04T20:23:00Z",,,,,,,,1
"2020-03-04T20:23:00Z","2020-03-04T20:24:00Z",,,,,,,,1
"2020-03-04T20:24:00Z","2020-03-04T20:25:00Z",,,,,,,,1
"2020-03-04T20:25:00Z","2020-03-04T20:26:00Z",,,,,,,,1
"2020-03-04T20:26:00Z","2020-03-04T20:27:00Z",,,,,,,,1
"2020-03-04T20:27:00Z","2020-03-04T20:28:00Z",,,,,,,,1
"2020-03-04T20:28:00Z","2020-03-04T20:29:00Z",,,,,,,,1
"2020-03-04T20:29:00Z","2020-03-04T20:30:00Z",,,,,,,,1
"2020-03-04T20:30:00Z","2020-03-04T20:31:00Z",,,,,,,,1
"2020-03-04T20:31:00Z","2020-03-04T20:32:00Z",,,,,,,,1
"2020-03-04T20:32:00Z","2020-03-04T20:33:00Z",,,,,,,,1
"2020-03-04T20:33:00Z","2020-03-04T20:34:00Z",,,,,,,,1
"2020-03-04T20:34:00Z","2020-03-04T20:35:00Z",,,,,,,,1
"2020-03-04T20:35:00Z","2020-03-04T20:36:00Z",,,,,,,,1
"2020-03-04T20:36:00Z","2020-03-04T20:37:00Z",,,,,,,,1
"2020-03-04T20:37:00Z","2020-03-04T20:38:00Z",,,,,,,,1
"2020-03-04T20:38:00Z","2020-03-04T20:39:00Z",,,,,,,,1
"2020-03-04T20:39:00Z","2020-03-04T20:40:00Z",,,,,,,,1
"2020-03-04T20:40:00Z","2020-03-04T20:41:00Z",,,,,,,,1
"2020-03-04T20:41:00Z","2020-03-04T20:42:00Z",,,,,,,,1
"2020-03-04T20:42:00Z","2020-03-04T20:43:00Z",,,,,,,,1
"2020-03-04T20:43:00Z","2020-03-04T20:44:00Z",,,,,,,,1
"2020-03-04T20:44:00Z","2020-03-04T20:45:00Z",,,,,,,,1
"2020-03-04T20:45:00Z","2020-03-04T20:46:00Z",,,,,,,,1
"2020-03-04T20:46:00Z","2020-03-04T20:47:00Z",,,,,,,,1
"2020-03-04T20:47:00Z","2020-03-04T20:48:00Z",,,,,,,,1
"2020-03-04T20:48:00Z","2020-03-04T20:49:00Z",,,,,,,,1
"2020-03-04T20:49:00Z","2020-03-04T20:50:00Z",,,,,,,,1
"2020-03-04T20:50:00Z","2020-03-04T20:51:00Z",,,,,,,,1
"2020-03-04T20:51:00Z","2020-03-04T20:52:00Z",,,,,,,,1
"2020-03-04T20:52:00Z","2020-03-04T20:53:00Z",,,,,,,,1
"2020-03-04T20:53:00Z","2020-03-04T20:54:00Z",,,,,,,,1
"2020-03-04T20:54:00Z","2020-03-04T20:55:00Z",,,,,,,,1
"2020-03-04T20:55:00Z","2020-03-04T20:56:00Z",,,,,,,,1
"2020-03-04T20:56:00Z","2020-03-04T20:57:00Z",,,,,,,,1
"2020-03-04T20:57:00Z","2020-03-04T20:58:00Z",,,,,,,,1
"2020-03-04T20:58:00Z","2020-03-04T20:59:00Z",,,,,,,,1
"2020-03-04T20:59:00Z","2020-03-04T21:00:00Z",,,,,,,,1
"2020-03-04T21:00:00Z","2020-03-04T21:01:00Z",,,,,,,,1
"2020-03-04T21:01:00Z","2020-03-04T21:02:00Z",,,,,,,,1
"2020-03-04T21:02:00Z","2020-03-04T21:03:00Z",,,,,,,,1
"2020-03-04T21:03:00Z","2020-03-04T21:04:00Z",,,,,,,,1
"2020-03-04T21:04:00Z","2020-03-04T21:05:00Z",,,,,,,,1
"2020-03-04T21:05:00Z","2020-03-04T21:06:00Z",,,,,,,,1
"2020-03-04T21:06:00Z","2020-03-04T21:07:00Z",,,,,,,,1
"2020-03-04T21:07:00Z","2020-03-04T21:08:00Z",,,,,,,,1
"2020-03-04T21:08:00Z","2020-03-04T21:09:00Z",,,,,,,,1
"2020-03-04T21:09:00Z","2020-03-04T21:10:00Z",,,,,,,,1
"2020-03-04T21:10:00Z","2020-03-04T21:11:00Z",,,,,,,,1
"2020-03-04T21:11:00Z","2020-03-04T21:12:00Z",,,,,,,,1
"2020-03-04T21:12:00Z","2020-03-04T21:13:00Z",,,,,,,,1
"2020-03-04T21:13:00Z","2020-03-04T21:14:00Z",,,,,,,,1
"2020-03-04T21:14:00Z","2020-03-04T21:15:00Z",,,,,,,,1
"2020-03-04T21:15:00Z","2020-03-04T21:16:00Z",,,,,,,,1
"2020-03-04T21:16:00Z","2020-03-04T21:17:00Z",,,,,,,,1
"2020-03-04T21:17:00Z","2020-03-04T21:18:00Z",,,,,,,,1
"2020-03-04T21:18:00Z","2020-03-04T21:19:00Z",,,,,,,,1
"2020-03-04T21:19:00Z","2020-03-04T21:20:00Z",,,,,,,,1
"2020-03-04T21:20:00Z","2020-03-04T21:21:00Z",,,,,,,,1
"2020-03-04T21:21:00Z","2020-03-04T21:22:00Z",,,,,,,,1
"2020-03-04T21:22:00Z","2020-03-04T21:23:00Z",,,,,,,,1
"2020-03-04T21:23:00Z","2020-03-04T21:24:00Z",,,,,,,,1
"2020-03-04T21:24:00Z","2020-03-04T21:25:00Z",,,,,,,,1
"2020-03-04T21:25:00Z","2020-03-04T21:26:00Z",,,,,,,,1
"2020-03-04T21:26:00Z","2020-03-04T21:27:00Z",,,,,,,,1
"2020-03-04T21:27:00Z","2020-03-04T21:28:00Z",,,,,,,,1
"2020-03-04T21:28:00Z","2020-03-04T21:29:00Z",,,,,,,,1
"2020-03-04T21:29:00Z","2020-03-04T21:30:00Z",,,,,,,,1
"2020-03-04T21:30:00Z","2020-03-04T21:31:00Z",,,,,,,,1
"2020-03-04T21:31:00Z","2020-03-04T21:32:00Z",,,,,,,,1
"2020-03-04T21:32:00Z","2020-03-04T21:33:00Z",,,,,,,,1
"2020-03-04T21:33:00Z","2020-03-04T21:34:00Z",,,,,,,,1
"2020-03-04T21:34:00Z","2020-03-04T21:35:00Z",,,,,,,,1
"2020-03-04T21:35:00Z","2020-03-04T21:36:00Z",,,,,,,,1
"2020-03-04T21:36:00Z","2020-03-04T21:37:00Z",,,,,,,,1
"2020-03-04T21:37:00Z","2020-03-04T21:38:00Z",,,,,,,,1
"2020-03-04T21:38:00Z","2020-03-04T21:39:00Z",,,,,,,,1
"2020-03-04T21:39:00Z","2020-03-04T21:40:00Z",,,,,,,,1
"2020-03-04T21:40:00Z","2020-03-04T21:41:00Z",,,,,,,,1
"2020-03-04T21:41:00Z","2020-03-04T21:42:00Z",,,,,,,,1
"2020-03-04T21:42:00Z","2020-03-04T21:43:00Z",,,,,,,,1
"2020-03-04T21:43:00Z","2020-03-04T21:44:00Z",,,,,,,,1
"2020-03-04T21:44:00Z","2020-03-04T21:45:00Z",,,,,,,,1
"2020-03-04T21:45:00Z","2020-03-04T21:46:00Z",,,,,,,,1
"2020-03-04T21:46:00Z","2020-03-04T21:47:00Z",,,,,,,,1
"2020-03-04T21:47:00Z","2020-03-04T21:48:00Z",,,,,,,,1
"2020-03-04T21:48:00Z","2020-03-04T21:49:00Z",,,,,,,,1
"2020-03-04T21:49:00Z","2020-03-04T21:50:00Z",,,,,,,,1
"2020-03-04T21:50:00Z","2020-03-04T21:51:00Z",,,,,,,,1
"2020-03-04T21:51:00Z","2020-03-04T21:52:00Z",,,,,,,,1
"2020-03-04T21:52:00Z","2020-03-04T21:53:00Z",,,,,,,,1
"2020-03-04T21:53:00Z","2020-03-04T21:54:00Z",,,,,,,,1
"2020-03-04T21:54:00Z","2020-03-04T21:55:00Z",,,,,,,,1
"2020-03-04T21:55:00Z","2020-03-04T21:56:00Z",,,,,,,,1
"2020-03-04T21:56:00Z","2020-03-04T21:57:00Z",,,,,,,,1
"2020-03-04T21:57:00Z","2020-03-04T21:58:00Z",,,,,,,,1
"2020-03-04T21:58:00Z","2020-03-04T21:59:00Z",,,,,,,,1
"2020-03-04T21:59:00Z","2020-03-04T22:00:00Z",,,,,,,,1
"2020-03-04T22:00:00Z","2020-03-04T22:01:00Z",,,,,,,,1
"2020-03-04T22:01:00Z","2020-03-04T22:02:00Z",,,,,,,,1
"2020-03-04T22:02:00Z","2020-03-04T22:03:00Z",,,,,,,,1
"2020-03-04T22:03:00Z","2020-03-04T22:04:00Z",,,,,,,,1
"2020-03-04T22:04:00Z","2020-03-04T22:05:00Z",,,,,,,,1
"2020-03-04T22:05:00Z","2020-03-04T22:06:00Z",,,,,,,,1
"2020-03-04T22:06:00Z","2020-03-04T22:07:00Z",,,,,,,,1
"2020-03-04T22:07:00Z","2020-03-04T22:08:00Z",,,,,,,,1
"2020-03-04T22:08:00Z","2020-03-04T22:09:00Z",,,,,,,,1
"2020-03-04T22:09:00Z","2020-03-04T22:10:00Z",,,,,,,,1
"2020-03-04T22:10:00Z","2020-03-04T22:11:00Z",,,,,,,,1
"2020-03-04T22:11:00Z","2020-03-04T22:12:00Z",,,,,,,,1
"2020-03-04T22:12:00Z","2020-03-04T22:13:00Z",,,,,,,,1
"2020-03-04T22:13:00Z","2020-03-04T22:14:00Z",,,,,,,,1
"2020-03-04T22:14:00Z","2020-03-04T22:15:00Z",,,,,,,,1
"2020-03-04T22:15:00Z","2020-03-04T22:16:00Z",,,,,,,,1
"2020-03-04T22:16:00Z","2020-03-04T22:17:00Z",,,,,,,,1
"2020-03-04T22:17:00Z","2020-03-04T22:18:00Z",,,,,,,,1
"2020-03-04T22:18:00Z","2020-03-04T22:19:00Z",,,,,,,,1
"2020-03-04T22:19:00Z","2020-03-04T22:20:00Z",,,,,,,,1
"2020-03-04T22:20:00Z","2020-03-04T22:21:00Z",,,,,,,,1
"2020-03-04T22:21:00Z","2020-03-04T22:22:00Z",,,,,,,,1
"2020-03-04T22:22:00Z","2020-03-04T22:23:00Z",,,,,,,,1
"2020-03-04T22:23:00Z","2020-03-04T22:24:00Z",,,,,,,,1
"2020-03-04T22:24:00Z","2020-03-04T22:25:00Z",,,,,,,,1
"2020-03-04T22:25:00Z","2020-03-04T22:26:00Z",,,,,,,,1
"2020-03-04T22:26:00Z","2020-03-04T22:27:00Z",,,,,,,,1
"2020-03-04T22:27:00Z","2020-03-04T22:28:00Z",,,,,,,,1
"2020-03-04T22:28:00Z","2020-03-04T22:29:00Z",,,,,,,,1
"2020-03-04T22:29:00Z","2020-03-04T22:30:00Z",,,,,,,,1
"2020-03-04T22:30:00Z","2020-03-04T22:31:00Z",,,,,,,,1
"2020-03-04T22:31:00Z","2020-03-04T22:32:00Z",,,,,,,,1
"2020-03-04T22:32:00Z","2020-03-04T22:33:00Z",,,,,,,,1
"2020-03-04T22:33:00Z","2020-03-04T22:34:00Z",,,,,,,,1
"2020-03-04T22:34:00Z","2020-03-04T22:35:00Z",,,,,,,,1
"2020-03-04T22:35:00Z","2020-03-04T22:36:00Z",,,,,,,,1
"2020-03-04T22:36:00Z","2020-03-04T22:37:00Z",,,,,,,,1
"2020-03-04T22:37:00Z","2020-03-04T22:38:00Z",,,,,,,,1
"2020-03-04T22:38:00Z","2020-03-04T22:39:00Z",,,,,,,,1
"2020-03-04T22:39:00Z","2020-03-04T22:40:00Z",,,,,,,,1
"2020-03-04T22:40:00Z","2020-03-04T22:41:00Z",,,,,,,,1
"2020-03-04T22:41:00Z","2020-03-04T22:42:00Z",,,,,,,,1
"2020-03-04T22:42:00Z","2020-03-04T22:43:00Z",,,,,,,,1
"2020-03-04T22:43:00Z","2020-03-04T22:44:00Z",,,,,,,,1
"2020-03-04T22:44:00Z","2020-03-04T22:45:00Z",,,,,,,,1
"2020-03-04T22:45:00Z","2020-03-04T22:46:00Z",,,,,,,,1
"2020-03-04T22:46:00Z","2020-03-04T22:47:00Z",,,,,,,,1
"2020-03-04T22:47:00Z","2020-03-04T22:48:00Z",,,,,,,,1
"2020-03-04T22:48:00Z","2020-03-04T22:49:00Z",,,,,,,,1
"2020-03-04T22:49:00Z","2020-03-04T22:50:00Z",,,,,,,,1
"2020-03-04T22:50:00Z","2020-03-04T22:51:00Z",,,,,,,,1
"2020-03-04T22:51:00Z","2020-03-04T22:52:00Z",,,,,,,,1
"2020-03-04T22:52:00Z","2020-03-04T22:53:00Z",,,,,,,,1
"2020-03-04T22:53:00Z","2020-03-04T22:54:00Z",,,,,,,,1
"2020-03-04T22:54:00Z","2020-03-04T22:55:00Z",,,,,,,,1
"2020-03-04T22:55:00Z","2020-03-04T22:56:00Z",,,,,,,,1
"2020-03-04T22:56:00Z","2020-03-04T22:57:00Z",,,,,,,,1
"2020-03-04T22:57:00Z","2020-03-04T22:58:00Z",,,,,,,,1
"2020-03-04T22:58:00Z","2020-03-04T22:59:00Z",,,,,,,,1
"2020-03-04T22:59:00Z","2020-03-04T23:00:00Z",,,,,,,,1
"2020-03-04T23:00:00Z","2020-03-04T23:01:00Z",,,,,,,,1
"2020-03-04T23:01:00Z","2020-03-04T23:02:00Z",,,,,,,,1
"2020-03-04T23:02:00Z","2020-03-04T23:03:00Z",,,,,,,,1
"2020-03-04T23:03:00Z","2020-03-04T23:04:00Z",,,,,,,,1
"2020-03-04T23:04:00Z","2020-03-04T23:05:00Z",,,,,,,,1
"2020-03-04T23:05:00Z","2020-03-04T23:06:00Z",,,,,,,,1
"2020-03-04T23:06:00Z","2020-03-04T23:07:00Z",,,,,,,,1
"2020-03-04T23:07:00Z","2020-03-04T23:08:00Z",,,,,,,,1
"2020-03-04T23:08:00Z","2020-03-04T23:09:00Z",,,,,,,,1
"2020-03-04T23:09:00Z","2020-03-04T23:10:00Z",,,,,,,,1
"2020-03-04T23:10:00Z","2020-03-04T23:11:00Z",,,,,,,,1
"2020-03-04T23:11:00Z","2020-03-04T23:12:00Z",,,,,,,,1
"2020-03-04T23:12:00Z","2020-03-04T23:13:00Z",,,,,,,,1
"2020-03-04T23:13:00Z","2020-03-04T23:14:00Z",,,,,,,,1
"2020-03-04T23:14:00Z","2020-03-04T23:15:00Z",,,,,,,,1
"2020-03-04T23:15:00Z","2020-03-04T23:16:00Z",,,,,,,,1
"2020-03-04T23:16:00Z","2020-03-04T23:17:00Z",,,,,,,,1
"2020-03-04T23:17:00Z","2020-03-04T23:18:00Z",,,,,,,,1
"2020-03-04T23:18:00Z","2020-03-04T23:19:00Z",,,,,,,,1
"2020-03-04T23:19:00Z","2020-03-04T23:20:00Z",,,,,,,,1
"2020-03-04T23:20:00Z","2020-03-04T23:21:00Z",,,,,,,,1
"2020-03-04T23:21:00Z","2020-03-04T23:22:00Z",,,,,,,,1
"2020-03-04T23:22:00Z","2020-03-04T23:23:00Z",,,,,,,,1
